Wavelength (nm),Retention Time (min),Intensity (AU),Sample
120,0,0,benzene
120,0.2,0.03601230320399919,benzene
120,0.4,0.053941713952401264,benzene
120,0.6000000000000001,0.021438099672413398,benzene
120,0.8,0.05408889834576481,benzene
120,1,0.058524788518939025,benzene
120,1.2,0.05224718541903168,benzene
120,1.4,0,benzene
120,1.5999999999999999,0.005926601484953714,benzene
120,1.7999999999999998,0,benzene
120,1.9999999999999998,0.08586688589449976,benzene
120,2.1999999999999997,0.03577442932642645,benzene
120,2.4,0.03441280358349608,benzene
120,2.6,0.0478013012885488,benzene
120,2.8000000000000003,0,benzene
120,3.0000000000000004,0.08196880666654582,benzene
120,3.2000000000000006,0.031207043334040896,benzene
120,3.400000000000001,0.04289860036582198,benzene
120,3.600000000000001,0,benzene
120,3.800000000000001,0.007740400783698883,benzene
120,4.000000000000001,0,benzene
120,4.200000000000001,0.027516077593514307,benzene
120,4.400000000000001,0.032415847170281877,benzene
120,4.600000000000001,0,benzene
120,4.800000000000002,0.00173291583967259,benzene
120,5.000000000000002,0.008291596840282932,benzene
120,5.200000000000002,0.0726959423045488,benzene
120,5.400000000000002,0.06351183077184884,benzene
120,5.600000000000002,0,benzene
120,5.8000000000000025,0.013715984901805593,benzene
120,6.000000000000003,0.05452569050122309,benzene
120,6.200000000000003,0.08252175578217215,benzene
120,6.400000000000003,0.013654764777657168,benzene
120,6.600000000000003,0.06721367786045412,benzene
120,6.800000000000003,0.034963033912320834,benzene
120,7.0000000000000036,0.0311730423544285,benzene
120,7.200000000000004,0.02102810492740604,benzene
120,7.400000000000004,0.06442651886883055,benzene
120,7.600000000000004,0.016894204424709673,benzene
120,7.800000000000004,0.08633381732544046,benzene
120,8.000000000000004,0.06803719612814552,benzene
120,8.200000000000003,0.11300806744526878,benzene
120,8.400000000000002,0.12130208104700038,benzene
120,8.600000000000001,0.07479172236707535,benzene
120,8.8,0.07884353368859899,benzene
120,9,0.0530865739388452,benzene
120,9.2,0.020698473494656162,benzene
120,9.399999999999999,0.037491194875675996,benzene
120,9.599999999999998,0.008341670682448801,benzene
120,9.799999999999997,0.04262681439516657,benzene
120,9.999999999999996,0,benzene
120,10.199999999999996,0.04538646618515657,benzene
120,10.399999999999995,0,benzene
120,10.599999999999994,0,benzene
120,10.799999999999994,0.031096643578495627,benzene
120,10.999999999999993,0.06708842637476423,benzene
120,11.199999999999992,0.044099968614545675,benzene
120,11.399999999999991,0,benzene
120,11.59999999999999,0.03655550166297335,benzene
120,11.79999999999999,0.03423775644015134,benzene
120,11.99999999999999,0,benzene
120,12.199999999999989,0.01381243729609723,benzene
120,12.399999999999988,0.025668500997251303,benzene
120,12.599999999999987,0.05523681849573371,benzene
120,12.799999999999986,0,benzene
120,12.999999999999986,0.05870880949029898,benzene
120,13.199999999999985,0.04636444924475931,benzene
120,13.399999999999984,0,benzene
120,13.599999999999984,0.03690932828184304,benzene
120,13.799999999999983,0.026162833583639418,benzene
120,13.999999999999982,0.013385445097526606,benzene
120,14.199999999999982,0,benzene
120,14.39999999999998,0.0716923969244461,benzene
120,14.59999999999998,0.0391490197053446,benzene
120,14.79999999999998,0.03989972001141448,benzene
